Фразеологизм,Дефиниция,Источники,Категория,Подкатегория,,Все категории:,,
dead as a meat-axe,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация,,,,,
in the dead of winter,"зимой, в самую глухую пору.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Криомортальная семантика; Социально-этическая семантика,Негативная,,,,
after death the doctor,как мёртвому припарки.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Соматическая репрезентация,,,,,
death knocks at the door,"смерть стучится в дверь, смертный час близок.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Пространственно-переходная модель; Фаталистическая репрезентация; Персонификация смерти,,,,,
death pays all debts,"посл., «смерть всё примиряет».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Народно-поэтическая репрезентация,,,,,
death quits (squares) all scores,"посл., «смерть всё примиряет».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Народно-поэтическая репрезентация,,,,,
death takes no denial,"посл., «от смерти не откупишься; всяк умрёт, как смерть придёт».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Народно-поэтическая репрезентация,,,,,
death when it comes will have no denial,"посл., «от смерти не откупишься; всяк умрёт, как смерть придёт».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация,,,,,
die a natural death,"умереть своей смертью; приходить к своему естественному концу, сойти на нет.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Аксиологически позитивная репрезентация,,,,,
a dog’s death,"собачья смерть, позорная смерть.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация; Дидактика,,,,,
dry death,"юр., любая смерть, кроме смерти от утопления; насильственная смерть без пролития крови.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Семантика насильственного взаимодействия,,,,,
talk to death (smb.),заговорить кого-л. до смерти.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Негативная,,,,
to (the) death,"смертельно, до смерти; до последней капли крови, до последнего издыхания; до конца.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Негативная,,,,
"that dies, pays all debts",смерть всё примиряет (ср. «с мёртвого да с голого ничего не возьмёшь»).,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Народно-поэтическая репрезентация,,,,,
"when the devil is dead, he never lacks a chief mourner","посл., «даже если чёрт помрёт, плакальщик всегда найдётся».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Религиозная репрезентация; Народно-поэтическая репрезентация; Социально-этическая семантика,Негативная,,,,
die hard,"медленно отмирать, быть живучим; отсюда die-hard — консерватор, твердолобый.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Негативная,,,,
die in a ditch,"умереть под забором, умереть в нищете.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Негативная,,,,
fight in или to the last ditch,"сражаться до последнего патрона, стоять насмерть; бороться до конца, костьми лечь, но не уступить.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Положительная,,,,
kill (shoot) smb. dog,убить кого-л. как собаку,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация; Семантика насильственного взаимодействия,,,,,
stone-dead hath no fellow,"посл., «мёртвые не говорят», «мёртвые хранят тайну».",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Хтоническая репрезентация; Народно-поэтическая репрезентация,,,,,
depart (go) to God,"эвф., отправиться к праотцам, умереть.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Религиозная репрезентация; Пространственно-переходная модель,,,,,
dig one’s grave with one’s teeth,погубить себя неумеренностью в еде [фр. les gourmands font leurs fosses avec leurs dents].,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Хтоническая репрезентация; Соматическая репрезентация,Негативная,,,,
find one’s grave (somewhere),"погибнуть, найти смерть где-либо.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Хтоническая репрезентация; Семантика насильственного взаимодействия,,,,,
sink into the grave,сойти в могилу.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Хтоническая репрезентация; Пространственно-переходная модель; Народно-поэтическая репрезентация,,,,,
die (end) in the gutter,"умереть, кончить под забором; погибнуть в нищете.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Дидактика,Негативная,,,,
bring smb.’s gray hairs (with sorrow) to the grave,"свести кого-либо в могилу (опозорив, огорчив) [библ. Genesis XLII, 38].",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Религиозная репрезентация; Хтоническая репрезентация; Семантика насильственного взаимодействия; Социально-этическая семантика,Библейское; Негативная,,,,
in the jaws of death,в когтях смерти; крайне опасное положение.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Семантика насильственного взаимодействия; Фаталистическая репрезентация; Персонификация смерти,,,,,
kill with kindness,"погубить чрезмерной добротой, навредить из-за излишней заботы.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Негативная,,,,
between life and death,между жизнью и смертью; критическое состояние.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Пространственно-переходная модель,,,,,
depart from (this) life,"эвф., покинуть этот бренный мир, умереть.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Пространственно-переходная модель,,,,,
die like a rat in a hole,"умереть под забором, тихо и незаметно.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Дидактика,Негативная,,,,
rise from the dead (grave),"восстать из мёртвых, воскреснуть.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Хтоническая репрезентация; Пространственно-переходная модель,,,,,
the fatal shears,"смерть; мифологически: ножницы судьбы, прерывающие нить жизни.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Семантика насильственного взаимодействия; Античное наследие (Греция и Рим); Фаталистическая репрезентация,,,,,
pass into silence,"быть преданным забвению, кануть в вечность.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,"Пространственно-переходная модель;
Аксиологически позитивная репрезентация",,,,,
they that take the sword shall perish with the sword,"библ. посл., кто поднял меч - от меча и погибнет.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,"Религиозная репрезентация;
Семантика насильственного взаимодействия",Библейское,,,,
the fatal thread,нить жизни.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Античное наследие (Греция и Рим); Фаталистическая репрезентация,,,,,
the thread of life,нить жизни.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Античное наследие (Греция и Рим); Фаталистическая репрезентация,,,,,
